"ChEMBL ID";"Name";"Synonyms";"Type";"Max Phase";"Molecular Weight";"Targets";"Bioactivities";"AlogP";"Polar Surface Area";"HBA";"HBD";"#RO5 Violations";"#Rotatable Bonds";"Passes Ro3";"QED Weighted";"CX Acidic pKa";"CX Basic pKa";"CX LogP";"CX LogD";"Aromatic Rings";"Structure Type";"Inorganic Flag";"Heavy Atoms";"HBA (Lipinski)";"HBD (Lipinski)";"#RO5 Violations (Lipinski)";"Molecular Weight (Monoisotopic)";"Np Likeness Score";"Molecular Species";"Molecular Formula";"Smiles";"Inchi Key"
"CHEMBL2206090";"";"";"Small molecule";"";"398.41";"3";"3";"2.32";"61.82";"7";"0";"0";"4";"N";"0.63";"None";"None";"3.55";"3.55";"3";"MOL";"-1";"27";"6";"0";"0";"398.1024";"-1.64";"NEUTRAL";"C17H17F3N4O2S";"Cn1c(=O)c2c(nc(SCCc3ccc(C(F)(F)F)cc3)n2C)n(C)c1=O";"GKEJDMWBDBMVLG-UHFFFAOYSA-N"
"CHEMBL26138";"";"8-(3-Chlorostyryl)Caffeine";"Small molecule";"";"330.78";"38";"93";"1.79";"61.82";"6";"0";"0";"2";"N";"0.72";"None";"None";"2.62";"2.62";"3";"MOL";"-1";"23";"6";"0";"0";"330.0884";"-1.13";"NEUTRAL";"C16H15ClN4O2";"Cn1c(=O)c2c(nc(/C=C/c3cccc(Cl)c3)n2C)n(C)c1=O";"WBWFIUAVMCNYPG-BQYQJAHWSA-N"
"CHEMBL1927666";"";"8-(Benzylsulfanyl)Caffeine";"Small molecule";"";"316.39";"5";"7";"1.26";"61.82";"7";"0";"0";"3";"N";"0.68";"None";"None";"2.39";"2.39";"3";"MOL";"-1";"22";"6";"0";"0";"316.0994";"-1.72";"NEUTRAL";"C15H16N4O2S";"Cn1c(=O)c2c(nc(SCc3ccccc3)n2C)n(C)c1=O";"LKHBCOZTKMDQEV-UHFFFAOYSA-N"
"CHEMBL2313284";"";"";"Small molecule";"";"330.78";"3";"3";"1.79";"61.82";"6";"0";"0";"2";"N";"0.72";"None";"None";"2.62";"2.62";"3";"MOL";"-1";"23";"6";"0";"0";"330.0884";"-0.99";"NEUTRAL";"C16H15ClN4O2";"Cn1c(=O)c2c(nc(/C=C/c3ccc(Cl)cc3)n2C)n(C)c1=O";"RQLGXOPACNRPQG-RMKNXTFCSA-N"
"CHEMBL1927672";"";"8-[(3-Methylbutyl)Sulfanyl]Caffeine";"Small molecule";"";"296.40";"3";"3";"1.11";"61.82";"7";"0";"0";"4";"N";"0.79";"None";"None";"2.27";"2.27";"2";"MOL";"-1";"20";"6";"0";"0";"296.1307";"-1.57";"NEUTRAL";"C13H20N4O2S";"CC(C)CCSc1nc2c(c(=O)n(C)c(=O)n2C)n1C";"MGAOAMZOLCYPSY-UHFFFAOYSA-N"
"CHEMBL2206097";"";"";"Small molecule";"";"360.44";"3";"3";"1.31";"71.05";"8";"0";"0";"5";"N";"0.64";"None";"None";"2.52";"2.52";"3";"MOL";"-1";"25";"7";"0";"0";"360.1256";"-1.49";"NEUTRAL";"C17H20N4O3S";"COc1cccc(CCSc2nc3c(c(=O)n(C)c(=O)n3C)n2C)c1";"KVNYVYMOJGOJRR-UHFFFAOYSA-N"
"CHEMBL626";"NAFTIFINE";"AW-105-843|NAFT-500|NAFTIFINE|Naftifine";"Small molecule";"4.0";"287.41";"22";"178";"4.99";"3.24";"1";"0";"0";"5";"N";"0.64";"None";"8.99";"5.24";"3.64";"3";"MOL";"0";"22";"1";"0";"0";"287.1674";"-0.56";"BASE";"C21H21N";"CN(C/C=C/c1ccccc1)Cc1cccc2ccccc12";"OZGNYLLQHRPOBR-DHZHZOJOSA-N"
"CHEMBL4847124";"";"";"Unknown";"";"";"1";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"-1";"";"";"";"";"";"";"";"";"";""
"CHEMBL1927682";"";"8-(Cyclopentylamino)Caffeine";"Small molecule";"";"277.33";"5";"5";"0.33";"73.85";"7";"1";"0";"2";"N";"0.86";"None";"None";"0.97";"0.97";"2";"MOL";"-1";"20";"7";"1";"0";"277.1539";"-1.13";"NEUTRAL";"C13H19N5O2";"Cn1c(=O)c2c(nc(NC3CCCC3)n2C)n(C)c1=O";"RLBHFWYOWQZCDF-UHFFFAOYSA-N"
"CHEMBL2311151";"";"";"Small molecule";"";"329.78";"1";"1";"1.79";"61.82";"6";"0";"0";"2";"N";"0.72";"None";"None";"2.62";"2.62";"3";"MOL";"-1";"23";"6";"0";"0";"330.0884";"-1.13";"NEUTRAL";"C16H15ClN4O2";"Cn1c(=O)c2c(nc(/C=C/c3cccc(Cl)c3)n2[11CH3])n(C)c1=O";"WBWFIUAVMCNYPG-NWHGENIKSA-N"
