"ChEMBL ID";"Name";"Synonyms";"Type";"Max Phase";"Molecular Weight";"Targets";"Bioactivities";"AlogP";"Polar Surface Area";"HBA";"HBD";"#RO5 Violations";"#Rotatable Bonds";"Passes Ro3";"QED Weighted";"CX Acidic pKa";"CX Basic pKa";"CX LogP";"CX LogD";"Aromatic Rings";"Structure Type";"Inorganic Flag";"Heavy Atoms";"HBA (Lipinski)";"HBD (Lipinski)";"#RO5 Violations (Lipinski)";"Molecular Weight (Monoisotopic)";"Np Likeness Score";"Molecular Species";"Molecular Formula";"Smiles";"Inchi Key"
"CHEMBL3138097";"";"";"Small molecule";"";"308.44";"1";"1";"3.91";"37.30";"2";"1";"0";"0";"N";"0.74";"13.48";"None";"3.23";"3.23";"0";"MOL";"-1";"22";"2";"1";"0";"308.2152";"2.16";"NEUTRAL";"C19H29FO2";"C[C@]12CCC(=O)C[C@@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](O)[C@@H](F)C[C@@H]12";"LNSIGBRLIFKJTK-PHRFIAIISA-N"
"CHEMBL3275971";"";"";"Small molecule";"";"332.48";"1";"1";"4.53";"43.37";"3";"0";"0";"1";"N";"0.66";"None";"None";"3.85";"3.85";"0";"MOL";"-1";"24";"3";"0";"0";"332.2351";"2.29";"NEUTRAL";"C21H32O3";"CC(=O)O[C@H]1CC[C@H]2[C@@H]3CC[C@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C";"ILCTUFVQFCIIDS-NGFSFWIMSA-N"
"CHEMBL260641";"";"19-Nor-Dihydrotestosterone";"Small molecule";"";"276.42";"2";"3";"3.57";"37.30";"2";"1";"0";"0";"N";"0.73";"None";"None";"3.11";"3.11";"0";"MOL";"-1";"20";"2";"1";"0";"276.2089";"2.51";"NEUTRAL";"C18H28O2";"C[C@]12CC[C@H]3[C@@H](CCC4CC(=O)CC[C@@H]43)[C@@H]1CC[C@@H]2O";"RHVBIEJVJWNXBU-ARIDVEPSSA-N"
"CHEMBL261514";"MESTANOLONE";"ASSIMIL|ERMALONE|MESANOLON|MESTANOLONE|METHYBOL|NSC-18219|TANTARONE";"Small molecule";"-1.0";"304.47";"13";"16";"4.35";"37.30";"2";"1";"0";"0";"N";"0.72";"None";"None";"3.69";"3.69";"0";"MOL";"0";"22";"2";"1";"0";"304.2402";"2.21";"NEUTRAL";"C20H32O2";"C[C@]12CCC(=O)C[C@@H]1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(C)O";"WYZDXEKUWRCKOB-YDSAWKJFSA-N"
"CHEMBL4868236";"";"";"Unknown";"";"";"1";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"-1";"";"";"";"";"";"";"";"";"";""
"CHEMBL408707";"";"6Alpha-Fluoro-Dihydrotestosterone";"Small molecule";"";"308.44";"1";"1";"3.91";"37.30";"2";"1";"0";"0";"N";"0.74";"None";"None";"2.99";"2.99";"0";"MOL";"-1";"22";"2";"1";"0";"308.2152";"2.12";"NEUTRAL";"C19H29FO2";"C[C@]12CCC(=O)C[C@@H]1[C@@H](F)C[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](O)CC[C@@H]12";"YUIAWFKQFLYPGL-ZXHZLALASA-N"
"CHEMBL373357";"";"";"Small molecule";"";"290.45";"8";"10";"3.96";"37.30";"2";"1";"0";"0";"N";"0.73";"None";"None";"3.41";"3.41";"0";"MOL";"-1";"21";"2";"1";"0";"290.2246";"2.41";"NEUTRAL";"C19H30O2";"C[C@]12CCC(=O)C[C@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](O)CC[C@@H]12";"NVKAWKQGWWIWPM-MISPCMORSA-N"
"CHEMBL27769";"STANOLONE";"4-DIHYDROTESTOSTERONE|5ALPHA-DIHYDROTESTOSTERONE|ANABOLEX|ANDRACTIM|ANDROSTANOLONE|DIHYDROTESTOSTERONE|DIHYDROTESTOSTERONE (DHT)|NSC-10972|Neodrol|STANOLONE";"Small molecule";"2.0";"290.45";"161";"568";"3.96";"37.30";"2";"1";"0";"0";"N";"0.73";"None";"None";"3.41";"3.41";"0";"MOL";"0";"21";"2";"1";"0";"290.2246";"2.41";"NEUTRAL";"C19H30O2";"C[C@]12CCC(=O)C[C@@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](O)CC[C@@H]12";"NVKAWKQGWWIWPM-ABEVXSGRSA-N"
"CHEMBL47182";"";"";"Small molecule";"";"288.43";"1";"2";"3.74";"37.30";"2";"1";"0";"0";"N";"0.69";"None";"None";"3.05";"3.05";"0";"MOL";"-1";"21";"2";"1";"0";"288.2089";"2.80";"NEUTRAL";"C19H28O2";"CC12C=CC3C(CCC4CC(=O)CCC43C)C1CCC2O";"GLUAZNMUPJCKRP-UHFFFAOYSA-N"
"CHEMBL261407";"";"";"Small molecule";"";"342.52";"1";"1";"4.17";"40.46";"2";"2";"0";"1";"N";"0.55";"None";"None";"3.73";"3.73";"0";"MOL";"-1";"25";"2";"2";"0";"342.2559";"1.90";"NEUTRAL";"C23H34O2";"C#C[C@]1(O)CC[C@H]2[C@H]3[C@H](C(=C)C[C@@]21CC)[C@H]1CC[C@@H](O)C[C@@H]1C[C@H]3C";"ZXTNQWOTVWTCCX-OHXZZPOISA-N"
"CHEMBL3275972";"";"";"Small molecule";"";"347.50";"1";"1";"4.79";"58.89";"4";"1";"0";"1";"N";"0.32";"9.94";"0.93";"3.83";"3.83";"0";"MOL";"-1";"25";"4";"1";"0";"347.2460";"1.96";"NEUTRAL";"C21H33NO3";"C/C(=N\O)O[C@H]1CC[C@H]2[C@@H]3CC[C@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C";"LZNGVDAMISPZHO-KKLCGDIRSA-N"
