"ChEMBL ID";"Name";"Synonyms";"Type";"Max Phase";"Molecular Weight";"Targets";"Bioactivities";"AlogP";"Polar Surface Area";"HBA";"HBD";"#RO5 Violations";"#Rotatable Bonds";"Passes Ro3";"QED Weighted";"CX Acidic pKa";"CX Basic pKa";"CX LogP";"CX LogD";"Aromatic Rings";"Structure Type";"Inorganic Flag";"Heavy Atoms";"HBA (Lipinski)";"HBD (Lipinski)";"#RO5 Violations (Lipinski)";"Molecular Weight (Monoisotopic)";"Np Likeness Score";"Molecular Species";"Molecular Formula";"Smiles";"Inchi Key"
"CHEMBL4795782";"";"";"Unknown";"";"235.31";"2";"2";"-0.67";"109.14";"4";"4";"0";"2";"N";"0.38";"9.29";"11.60";"-0.74";"-2.48";"0";"MOL";"-1";"15";"7";"4";"0";"235.1103";"-0.46";"BASE";"C7H17N5O2S";"CC(C)S(=O)(=O)NC(=N)NC(=N)N(C)C";"ISZYVRTYFNGSHU-UHFFFAOYSA-N"
"CHEMBL4795161";"";"";"Unknown";"";"233.28";"2";"2";"0.83";"95.56";"3";"4";"0";"1";"N";"0.43";"9.02";"11.11";"0.66";"-0.80";"1";"MOL";"-1";"17";"6";"4";"0";"233.1277";"-0.04";"BASE";"C11H15N5O";"CN(C)C(=N)NC(=N)/N=C/c1ccc(O)cc1";"NIDFKGSOOFIAET-VGOFMYFVSA-N"
"CHEMBL4776721";"";"";"Unknown";"";"229.24";"2";"2";"-1.01";"129.37";"4";"5";"0";"3";"N";"0.31";"3.42";"10.77";"-2.82";"-3.00";"0";"MOL";"-1";"16";"8";"5";"0";"229.1175";"-0.04";"ZWITTERION";"C8H15N5O3";"CN(C)C(=N)NC(=N)NC(=O)CCC(=O)O";"LONFAWBJBDLGJS-UHFFFAOYSA-N"
"CHEMBL1187231";"METFORMIN XR";"";"Small molecule";"3.0";"129.17";"";"";"-1.24";"91.49";"2";"3";"0";"0";"N";"0.28";"None";"12.07";"-0.97";"-5.61";"0";"MOL";"0";"9";"5";"5";"0";"129.1014";"0.20";"BASE";"C4H11N5";"C/N=C(\N)N(C)C(=N)N";"LJVNRPAERZRHDF-UHFFFAOYSA-N"
"CHEMBL4782787";"";"";"Unknown";"";"227.22";"2";"2";"-1.24";"129.37";"4";"5";"0";"2";"N";"0.23";"2.59";"10.26";"-2.48";"-2.55";"0";"MOL";"-1";"16";"8";"5";"0";"227.1018";"0.16";"ZWITTERION";"C8H13N5O3";"CN(C)C(=N)NC(=N)NC(=O)/C=C/C(=O)O";"MOJXQEWHKNTRDH-ONEGZZNKSA-N"
"CHEMBL4786480";"";"";"Unknown";"";"247.30";"2";"2";"0.75";"92.07";"3";"4";"0";"1";"N";"0.44";"13.09";"9.94";"1.38";"-0.85";"1";"MOL";"-1";"18";"6";"4";"0";"247.1433";"-0.64";"BASE";"C12H17N5O";"Cc1ccc(C(=O)NC(=N)NC(=N)N(C)C)cc1";"AFEHCBBLZKGXJM-UHFFFAOYSA-N"
"CHEMBL4790803";"";"";"Unknown";"";"233.28";"2";"2";"0.44";"92.07";"3";"4";"0";"1";"N";"0.42";"12.86";"10.15";"0.87";"-1.47";"1";"MOL";"-1";"17";"6";"4";"0";"233.1277";"-0.49";"BASE";"C11H15N5O";"CN(C)C(=N)NC(=N)NC(=O)c1ccccc1";"JNSAFRKMDPFOQD-UHFFFAOYSA-N"
"CHEMBL4781424";"";"";"Unknown";"";"242.29";"2";"2";"1.00";"99.12";"3";"3";"0";"1";"N";"0.51";"None";"10.89";"1.21";"-1.18";"1";"MOL";"-1";"18";"6";"3";"0";"242.1280";"-0.93";"BASE";"C12H14N6";"CN(C)C(=N)NC(=N)/N=C/c1ccc(C#N)cc1";"FDQCIFLHESUTQS-LZYBPNLTSA-N"
"CHEMBL2108299";"METFORMIN GLYCINATE";"DMMET-01|METFORMIN GLYCINATE";"Unknown";"3.0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"0";"";"";"";"";"";"";"";"";"";""
"CHEMBL3094198";"";"";"Small molecule";"";"128.17";"9";"93";"-1.03";"88.99";"2";"4";"0";"0";"N";"0.25";"None";"12.33";"-0.92";"-5.62";"0";"MOL";"-1";"9";"5";"5";"0";"129.1014";"0.07";"BASE";"C4H11N5";"CN([11CH3])C(=N)NC(=N)N";"XZWYZXLIPXDOLR-BJUDXGSMSA-N"
